family_id,twin_id,eye,subject_id,iris_id,image_idx,filename,relative_path,absolute_path,file_extension,file_size_bytes,sha256,width,height,mode,format,readable,error,filename_pattern_ok,filename_family_id,filename_twin_id,filename_eye,filename_image_idx,folder_filename_consistent
0,1,L,F00_T1,F00_T1_L,1,S3001L01.jpg,00/1L/S3001L01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L01.jpg,.jpg,19086,9aeb336e1f2a4ad862d8879643d1e2c71e12919ef33af590b12ad0b19029c82d,640,480,L,JPEG,True,,True,0,1,L,1,True
0,1,L,F00_T1,F00_T1_L,2,S3001L02.jpg,00/1L/S3001L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L02.jpg,.jpg,18770,676b66e0af2523e66e213d86e533915637acd566aa805e0a9b6672c22feecc1c,640,480,L,JPEG,True,,True,0,1,L,2,True
0,1,L,F00_T1,F00_T1_L,3,S3001L03.jpg,00/1L/S3001L03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L03.jpg,.jpg,19462,569a78f26f2aafeb4face572449af14ba71a4e81790246e19ec4148cbce14e4b,640,480,L,JPEG,True,,True,0,1,L,3,True
0,1,L,F00_T1,F00_T1_L,4,S3001L04.jpg,00/1L/S3001L04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L04.jpg,.jpg,19177,eeaad4784be1c0a443ebbb9fc71cbfff5482150bd57e4241864e1906e137d377,640,480,L,JPEG,True,,True,0,1,L,4,True
0,1,L,F00_T1,F00_T1_L,5,S3001L05.jpg,00/1L/S3001L05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L05.jpg,.jpg,20363,896bf9ddc4fa8133d5fff2a26c858de97f80a16cc3452a24c538b0069684da0c,640,480,L,JPEG,True,,True,0,1,L,5,True
0,1,L,F00_T1,F00_T1_L,6,S3001L06.jpg,00/1L/S3001L06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L06.jpg,.jpg,20689,06c76d449b9ad02b01207bcdf7a8a1e834764e6c1850e6110620c0550637bd16,640,480,L,JPEG,True,,True,0,1,L,6,True
0,1,L,F00_T1,F00_T1_L,7,S3001L07.jpg,00/1L/S3001L07.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L07.jpg,.jpg,19247,5584b1e2f819854aa113a5c1eea08392db4317e50012e63c08b8f923d29ad5b2,640,480,L,JPEG,True,,True,0,1,L,7,True
0,1,L,F00_T1,F00_T1_L,8,S3001L08.jpg,00/1L/S3001L08.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L08.jpg,.jpg,20993,ef31b4bf0c7da215cfcf4b7cef8bc52a5ced5778f432b78655fc8edb51032740,640,480,L,JPEG,True,,True,0,1,L,8,True
0,1,L,F00_T1,F00_T1_L,9,S3001L09.jpg,00/1L/S3001L09.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1L/S3001L09.jpg,.jpg,20694,4b1e21ae03dec8f793d813bea2c9553959bfeecfebcd9398a6465e9dbd043f68,640,480,L,JPEG,True,,True,0,1,L,9,True
0,1,R,F00_T1,F00_T1_R,1,S3001R01.jpg,00/1R/S3001R01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1R/S3001R01.jpg,.jpg,18145,1d9f1f9b1f143ffa624071d50dfc55677ee09f1d2db2885ac30b2cf3ef1881bd,640,480,L,JPEG,True,,True,0,1,R,1,True
0,1,R,F00_T1,F00_T1_R,2,S3001R02.jpg,00/1R/S3001R02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1R/S3001R02.jpg,.jpg,18927,562da2fb6f5c896256453be2170ef2687be9d822bc2b511b46f2fe1eabbc259f,640,480,L,JPEG,True,,True,0,1,R,2,True
0,1,R,F00_T1,F00_T1_R,3,S3001R03.jpg,00/1R/S3001R03.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1R/S3001R03.jpg,.jpg,18958,a638718e4fcef21b95baf45aee43261b27f1e943938802b5f41c21326fa15469,640,480,L,JPEG,True,,True,0,1,R,3,True
0,1,R,F00_T1,F00_T1_R,4,S3001R04.jpg,00/1R/S3001R04.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1R/S3001R04.jpg,.jpg,18721,96838f1641f13bccf1bd35060ec6447ede4ea6d8715746c530fd6ac1211e1c7f,640,480,L,JPEG,True,,True,0,1,R,4,True
0,1,R,F00_T1,F00_T1_R,5,S3001R05.jpg,00/1R/S3001R05.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1R/S3001R05.jpg,.jpg,19055,22dcb47aa8dc296646407b9eeb640b1700e2bc09eb90e524b82d8411bc83e392,640,480,L,JPEG,True,,True,0,1,R,5,True
0,1,R,F00_T1,F00_T1_R,6,S3001R06.jpg,00/1R/S3001R06.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/1R/S3001R06.jpg,.jpg,17577,6d6309120b74714d6b9d0c535eda3c44bc087bb53c8e091d9323e82e8e797388,640,480,L,JPEG,True,,True,0,1,R,6,True
0,2,L,F00_T2,F00_T2_L,1,S3002L01.jpg,00/2L/S3002L01.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/2L/S3002L01.jpg,.jpg,18111,bc668a463299cf22a518f8391685f69a3ce29329dbbb631bef1fd25c55d9e141,640,480,L,JPEG,True,,True,0,2,L,1,True
0,2,L,F00_T2,F00_T2_L,2,S3002L02.jpg,00/2L/S3002L02.jpg,/Users/sarahoualli/Desktop/BIO/iris_twins_project/data/raw/CASIA-Iris-Twins/00/2L/S3002L02.jpg,.jpg,16601,7bdd6a598829e1721c96c28ab05cde2e6313415f04bac393917e59b01aa5de32,640,480,L,JPEG,True,,True,0,2,L,2,True
