family_id,twin_id,eye,subject_id,iris_id,folder_class,filename,stem,source_path,segmentation_overlay_path,has_segmentation_overlay
11,1,L,F11_T1,F11_T1_L,1L,S3111L01.jpg,S3111L01,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/11/1L/S3111L01.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/11__1L__S3111L01.jpg.png,True
11,1,L,F11_T1,F11_T1_L,1L,S3111L03.jpg,S3111L03,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/11/1L/S3111L03.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/11__1L__S3111L03.jpg.png,True
11,1,R,F11_T1,F11_T1_R,1R,S3111R02.jpg,S3111R02,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/11/1R/S3111R02.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/11__1R__S3111R02.jpg.png,True
11,1,R,F11_T1,F11_T1_R,1R,S3111R06.jpg,S3111R06,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/11/1R/S3111R06.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/11__1R__S3111R06.jpg.png,True
11,1,R,F11_T1,F11_T1_R,1R,S3111R09.jpg,S3111R09,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/11/1R/S3111R09.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/11__1R__S3111R09.jpg.png,True
11,1,R,F11_T1,F11_T1_R,1R,S3111R01.jpg,S3111R01,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/11/1R/S3111R01.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/11__1R__S3111R01.jpg.png,True
11,1,R,F11_T1,F11_T1_R,1R,S3111R05.jpg,S3111R05,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/11/1R/S3111R05.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/11__1R__S3111R05.jpg.png,True
11,2,L,F11_T2,F11_T2_L,2L,S3112L10.jpg,S3112L10,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/11/2L/S3112L10.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/11__2L__S3112L10.jpg.png,True
17,1,L,F17_T1,F17_T1_L,1L,S3171L10.jpg,S3171L10,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/17/1L/S3171L10.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/17__1L__S3171L10.jpg.png,True
17,2,L,F17_T2,F17_T2_L,2L,S3172L07.jpg,S3172L07,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/17/2L/S3172L07.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/17__2L__S3172L07.jpg.png,True
17,2,R,F17_T2,F17_T2_R,2R,S3172R02.jpg,S3172R02,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/17/2R/S3172R02.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/17__2R__S3172R02.jpg.png,True
9,2,L,F09_T2,F09_T2_L,2L,S3092L03.jpg,S3092L03,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2L/S3092L03.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2L__S3092L03.jpg.png,True
9,2,L,F09_T2,F09_T2_L,2L,S3092L01.jpg,S3092L01,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2L/S3092L01.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2L__S3092L01.jpg.png,True
9,2,L,F09_T2,F09_T2_L,2L,S3092L02.jpg,S3092L02,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2L/S3092L02.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2L__S3092L02.jpg.png,True
9,2,L,F09_T2,F09_T2_L,2L,S3092L04.jpg,S3092L04,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2L/S3092L04.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2L__S3092L04.jpg.png,True
9,2,L,F09_T2,F09_T2_L,2L,S3092L05.jpg,S3092L05,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2L/S3092L05.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2L__S3092L05.jpg.png,True
9,2,R,F09_T2,F09_T2_R,2R,S3092R04.jpg,S3092R04,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2R/S3092R04.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2R__S3092R04.jpg.png,True
9,2,R,F09_T2,F09_T2_R,2R,S3092R01.jpg,S3092R01,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2R/S3092R01.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2R__S3092R01.jpg.png,True
9,2,R,F09_T2,F09_T2_R,2R,S3092R03.jpg,S3092R03,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2R/S3092R03.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2R__S3092R03.jpg.png,True
9,2,R,F09_T2,F09_T2_R,2R,S3092R02.jpg,S3092R02,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2R/S3092R02.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2R__S3092R02.jpg.png,True
9,2,R,F09_T2,F09_T2_R,2R,S3092R06.jpg,S3092R06,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/09/2R/S3092R06.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/09__2R__S3092R06.jpg.png,True
7,1,L,F07_T1,F07_T1_L,1L,S3071L06.jpg,S3071L06,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/07/1L/S3071L06.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/07__1L__S3071L06.jpg.png,True
7,2,L,F07_T2,F07_T2_L,2L,S3072L08.jpg,S3072L08,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/07/2L/S3072L08.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/07__2L__S3072L08.jpg.png,True
7,2,L,F07_T2,F07_T2_L,2L,S3072L03.jpg,S3072L03,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/07/2L/S3072L03.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/07__2L__S3072L03.jpg.png,True
7,2,L,F07_T2,F07_T2_L,2L,S3072L06.jpg,S3072L06,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/07/2L/S3072L06.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/07__2L__S3072L06.jpg.png,True
7,2,L,F07_T2,F07_T2_L,2L,S3072L01.jpg,S3072L01,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/07/2L/S3072L01.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/07__2L__S3072L01.jpg.png,True
7,2,L,F07_T2,F07_T2_L,2L,S3072L09.jpg,S3072L09,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/07/2L/S3072L09.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/07__2L__S3072L09.jpg.png,True
7,2,R,F07_T2,F07_T2_R,2R,S3072R08.jpg,S3072R08,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/07/2R/S3072R08.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/07__2R__S3072R08.jpg.png,True
7,2,R,F07_T2,F07_T2_R,2R,S3072R10.jpg,S3072R10,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/07/2R/S3072R10.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/07__2R__S3072R10.jpg.png,True
16,2,L,F16_T2,F16_T2_L,2L,S3162L03.jpg,S3162L03,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2L/S3162L03.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2L__S3162L03.jpg.png,True
16,2,L,F16_T2,F16_T2_L,2L,S3162L01.jpg,S3162L01,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2L/S3162L01.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2L__S3162L01.jpg.png,True
16,2,L,F16_T2,F16_T2_L,2L,S3162L02.jpg,S3162L02,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2L/S3162L02.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2L__S3162L02.jpg.png,True
16,2,L,F16_T2,F16_T2_L,2L,S3162L04.jpg,S3162L04,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2L/S3162L04.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2L__S3162L04.jpg.png,True
16,2,R,F16_T2,F16_T2_R,2R,S3162R09.jpg,S3162R09,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2R/S3162R09.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2R__S3162R09.jpg.png,True
16,2,R,F16_T2,F16_T2_R,2R,S3162R06.jpg,S3162R06,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2R/S3162R06.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2R__S3162R06.jpg.png,True
16,2,R,F16_T2,F16_T2_R,2R,S3162R10.jpg,S3162R10,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2R/S3162R10.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2R__S3162R10.jpg.png,True
16,2,R,F16_T2,F16_T2_R,2R,S3162R08.jpg,S3162R08,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2R/S3162R08.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2R__S3162R08.jpg.png,True
16,2,R,F16_T2,F16_T2_R,2R,S3162R07.jpg,S3162R07,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/16/2R/S3162R07.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/16__2R__S3162R07.jpg.png,True
13,1,L,F13_T1,F13_T1_L,1L,S3131L08.jpg,S3131L08,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/1L/S3131L08.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__1L__S3131L08.jpg.png,True
13,1,L,F13_T1,F13_T1_L,1L,S3131L10.jpg,S3131L10,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/1L/S3131L10.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__1L__S3131L10.jpg.png,True
13,1,R,F13_T1,F13_T1_R,1R,S3131R04.jpg,S3131R04,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/1R/S3131R04.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__1R__S3131R04.jpg.png,True
13,1,R,F13_T1,F13_T1_R,1R,S3131R06.jpg,S3131R06,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/1R/S3131R06.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__1R__S3131R06.jpg.png,True
13,1,R,F13_T1,F13_T1_R,1R,S3131R05.jpg,S3131R05,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/1R/S3131R05.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__1R__S3131R05.jpg.png,True
13,1,R,F13_T1,F13_T1_R,1R,S3131R07.jpg,S3131R07,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/1R/S3131R07.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__1R__S3131R07.jpg.png,True
13,2,L,F13_T2,F13_T2_L,2L,S3132L09.jpg,S3132L09,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/2L/S3132L09.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__2L__S3132L09.jpg.png,True
13,2,L,F13_T2,F13_T2_L,2L,S3132L08.jpg,S3132L08,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/2L/S3132L08.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__2L__S3132L08.jpg.png,True
13,2,L,F13_T2,F13_T2_L,2L,S3132L05.jpg,S3132L05,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/2L/S3132L05.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__2L__S3132L05.jpg.png,True
13,2,L,F13_T2,F13_T2_L,2L,S3132L10.jpg,S3132L10,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/2L/S3132L10.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__2L__S3132L10.jpg.png,True
13,2,L,F13_T2,F13_T2_L,2L,S3132L04.jpg,S3132L04,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/2L/S3132L04.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__2L__S3132L04.jpg.png,True
13,2,R,F13_T2,F13_T2_R,2R,S3132R06.jpg,S3132R06,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/2R/S3132R06.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__2R__S3132R06.jpg.png,True
13,2,R,F13_T2,F13_T2_R,2R,S3132R07.jpg,S3132R07,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/raw/CASIA-Iris-Twins/13/2R/S3132R07.jpg,/Users/sarahoualli/Desktop/Casia_Iris_Twins/data/segmentation_daugman/overlays/13__2R__S3132R07.jpg.png,True
