probe_relative_path,probe_code_path,probe_family_id,probe_subject_id,probe_iris_id,probe_eye,true_rank,rank1_correct,true_score,rank1_score,best_impostor_score,margin_best_impostor_minus_true,rank1_gallery_iris_id,rank1_gallery_subject_id,rank1_gallery_family_id,rank1_gallery_eye,rank1_relation_to_probe,rank1_is_twin,rank1_is_twin_same_eye,rank1_is_twin_cross_eye,best_impostor_iris_id,best_impostor_subject_id,best_impostor_family_id,best_impostor_eye,best_impostor_relation_to_probe,best_impostor_is_twin,best_impostor_is_twin_same_eye,best_impostor_is_twin_cross_eye,min_twin_rank,best_twin_score,margin_best_twin_minus_true,min_twin_same_eye_rank,best_twin_same_eye_score,min_twin_cross_eye_rank,best_twin_cross_eye_score,true_common_bits,true_best_shift
21/1R/S3211R02.jpg,data/features/daugman_strict_v3/gabor_codes/21__1R__S3211R02.jpg.npz,21,F21_T1,F21_T1_R,R,309,False,0.5162400516240052,0.3451134380453752,0.3451134380453752,-0.17112661357863,F37_T2_L,F37_T2,37,L,unrelated,False,False,False,F37_T2_L,F37_T2,37,L,unrelated,False,False,False,280.0,0.4910921076073401,-0.025147944016665,,,280.0,0.4910921076073401,18596,-16
51/2R/S3512R06.jpg,data/features/daugman_strict_v3/gabor_codes/51__2R__S3512R06.jpg.npz,51,F51_T2,F51_T2_R,R,150,False,0.45508873596523,0.3519926376440461,0.3519926376440461,-0.1030960983211838,F57_T1_L,F57_T1,57,L,unrelated,False,False,False,F57_T1_L,F57_T1,57,L,unrelated,False,False,False,95.0,0.4423636716475839,-0.012725064317646,116.0,0.447474660711218,95.0,0.4423636716475839,22088,16
34/2R/S3342R01.jpg,data/features/daugman_strict_v3/gabor_codes/34__2R__S3342R01.jpg.npz,34,F34_T2,F34_T2_R,R,213,False,0.4559800664451827,0.3594429939077458,0.3594429939077458,-0.0965370725374368,F01_T1_L,F01_T1,1,L,unrelated,False,False,False,F01_T1_L,F01_T1,1,L,unrelated,False,False,False,218.0,0.4573987132672579,0.0014186468220751,218.0,0.4573987132672579,302.0,0.4805536968885915,22876,16
51/2R/S3512R02.jpg,data/features/daugman_strict_v3/gabor_codes/51__2R__S3512R02.jpg.npz,51,F51_T2,F51_T2_R,R,122,False,0.4440801976434815,0.3499577702702702,0.3499577702702702,-0.0941224273732113,F30_T2_R,F30_T2,30,R,unrelated,False,False,False,F30_T2_R,F30_T2,30,R,unrelated,False,False,False,120.0,0.443980708588388,-9.948905509349348e-05,164.0,0.4527502854967644,120.0,0.443980708588388,21048,-12
24/1L/S3241L06.jpg,data/features/daugman_strict_v3/gabor_codes/24__1L__S3241L06.jpg.npz,24,F24_T1,F24_T1_L,L,195,False,0.460697338559934,0.3687106918238994,0.3687106918238994,-0.0919866467360346,F29_T1_L,F29_T1,29,L,unrelated,False,False,False,F29_T1_L,F29_T1,29,L,unrelated,False,False,False,62.0,0.43441317047265,-0.0262841680872839,170.0,0.4560873215785054,62.0,0.43441317047265,19388,-16
92/1R/S3921R02.jpg,data/features/daugman_strict_v3/gabor_codes/92__1R__S3921R02.jpg.npz,92,F92_T1,F92_T1_R,R,201,False,0.4556897431535975,0.3673485321673954,0.3673485321673954,-0.0883412109862021,F93_T1_R,F93_T1,93,R,unrelated,False,False,False,F93_T1_R,F93_T1,93,R,unrelated,False,False,False,37.0,0.4205849087089998,-0.0351048344445977,92.0,0.4363196683555965,37.0,0.4205849087089998,23516,12
84/1R/S3841R01.jpg,data/features/daugman_strict_v3/gabor_codes/84__1R__S3841R01.jpg.npz,84,F84_T1,F84_T1_R,R,180,False,0.4767171129220023,0.3887889688249401,0.3887889688249401,-0.0879281440970622,F60_T1_R,F60_T1,60,R,unrelated,False,False,False,F60_T1_R,F60_T1,60,R,unrelated,False,False,False,126.0,0.4669185403612237,-0.0097985725607785,126.0,0.4669185403612237,136.0,0.4695998445998446,24052,0
16/2R/S3162R05.jpg,data/features/daugman_strict_v3/gabor_codes/16__2R__S3162R05.jpg.npz,16,F16_T2,F16_T2_R,R,187,False,0.4464316797214969,0.3590560182916871,0.3590560182916871,-0.0873756614298098,F06_T1_R,F06_T1,6,R,unrelated,False,False,False,F06_T1_R,F06_T1,6,R,unrelated,False,False,False,,,,,,,,22980,-14
16/2R/S3162R10.jpg,data/features/daugman_strict_v3/gabor_codes/16__2R__S3162R10.jpg.npz,16,F16_T2,F16_T2_R,R,165,False,0.4444654754694124,0.3571220081727962,0.3571220081727962,-0.0873434672966161,F74_T2_R,F74_T2,74,R,unrelated,False,False,False,F74_T2_R,F74_T2,74,R,unrelated,False,False,False,,,,,,,,26416,-2
55/2R/S3552R10.jpg,data/features/daugman_strict_v3/gabor_codes/55__2R__S3552R10.jpg.npz,55,F55_T2,F55_T2_R,R,277,False,0.4736142442797293,0.3870004776309504,0.3870004776309504,-0.0866137666487788,F64_T2_R,F64_T2,64,R,unrelated,False,False,False,F64_T2_R,F64_T2,64,R,unrelated,False,False,False,291.0,0.4798314808174973,0.006217236537768,291.0,0.4798314808174973,,,24824,-2
