probe_relative_path,probe_code_path,probe_family_id,probe_subject_id,probe_iris_id,probe_eye,true_rank,rank1_correct,true_score,rank1_score,best_impostor_score,margin_best_impostor_minus_true,rank1_gallery_iris_id,rank1_gallery_subject_id,rank1_gallery_family_id,rank1_gallery_eye,rank1_relation_to_probe,rank1_is_twin,rank1_is_twin_same_eye,rank1_is_twin_cross_eye,best_impostor_iris_id,best_impostor_subject_id,best_impostor_family_id,best_impostor_eye,best_impostor_relation_to_probe,best_impostor_is_twin,best_impostor_is_twin_same_eye,best_impostor_is_twin_cross_eye,min_twin_rank,best_twin_score,margin_best_twin_minus_true,min_twin_same_eye_rank,best_twin_same_eye_score,min_twin_cross_eye_rank,best_twin_cross_eye_score,true_common_bits,true_best_shift,valid_bit_ratio,bit_one_ratio,brightness,contrast,focus_score,dark_ratio,bright_ratio
01/1R/S3011R02.jpg,data/features/daugman_strict_v3/gabor_codes/01__1R__S3011R02.jpg.npz,1,F01_T1,F01_T1_R,R,64,False,0.4202904564315353,0.3632539824592805,0.3632539824592805,-0.0570364739722548,F19_T1_R,F19_T1,19,R,unrelated,False,False,False,F19_T1_R,F19_T1,19,R,unrelated,False,False,False,104.0,0.4295902489626556,0.0092997925311202,221.0,0.4529527191179219,104.0,0.4295902489626556,24100,0,0.200958251953125,0.4993545937737281,120.6760025024414,33.96540832519531,12.340301212565103,0.0009212239583333,7.486979166666666e-05
01/2L/S3012L02.jpg,data/features/daugman_strict_v3/gabor_codes/01__2L__S3012L02.jpg.npz,1,F01_T2,F01_T2_L,L,100,False,0.4356371274254851,0.3790102746907108,0.3790102746907108,-0.0566268527347742,F04_T2_L,F04_T2,4,L,unrelated,False,False,False,F04_T2_L,F04_T2,4,L,unrelated,False,False,False,3.0,0.3870806709265175,-0.0485564564989675,3.0,0.3870806709265175,64.0,0.4243111111111111,19996,-8,0.193115234375,0.4972345132743362,132.15762329101562,35.48655700683594,23.259687011337277,0.0014453125,8.463541666666667e-05
02/1L/S3021L06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L06.jpg.npz,2,F02_T1,F02_T1_L,L,1,True,0.2562362938596491,0.2562362938596491,0.384269314303444,0.1280330204437949,F02_T1_L,F02_T1,2,L,genuine_gallery,False,False,False,F72_T2_L,F72_T2,72,L,unrelated,False,False,False,6.0,0.4013630367873369,0.1451267429276878,6.0,0.4013630367873369,234.0,0.4553518845700824,29184,0,0.224456787109375,0.5338545207341944,135.67808532714844,40.527679443359375,45.76344243612289,0.0002897135416666,0.0001106770833333
02/1L/S3021L03.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L03.jpg.npz,2,F02_T1,F02_T1_L,L,1,True,0.238268156424581,0.238268156424581,0.3778144097780637,0.1395462533534826,F02_T1_L,F02_T1,2,L,genuine_gallery,False,False,False,F56_T2_L,F56_T2,56,L,unrelated,False,False,False,38.0,0.4113402840737383,0.1730721276491572,38.0,0.4113402840737383,168.0,0.4403843300192906,28640,0,0.221221923828125,0.5248654986894744,146.98858642578125,44.78339767456055,66.55018717341954,0.0002473958333333,6.510416666666667e-05
02/1L/S3021L01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L01.jpg.npz,2,F02_T1,F02_T1_L,L,1,True,0.2967319340752218,0.2967319340752218,0.3859168667466987,0.0891849326714768,F02_T1_L,F02_T1,2,L,genuine_gallery,False,False,False,F47_T1_R,F47_T1,47,R,unrelated,False,False,False,13.0,0.4039609130240191,0.1072289789487972,13.0,0.4039609130240191,24.0,0.4104295837023915,28396,-2,0.220977783203125,0.529899185195415,144.79774475097656,39.9259033203125,53.29797620645098,0.0006998697916666,7.8125e-05
02/1L/S3021L05.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L05.jpg.npz,2,F02_T1,F02_T1_L,L,1,True,0.272432737005212,0.272432737005212,0.3734729493891797,0.1010402123839677,F02_T1_L,F02_T1,2,L,genuine_gallery,False,False,False,F72_T2_L,F72_T2,72,L,unrelated,False,False,False,11.0,0.397583081570997,0.125150344565785,11.0,0.397583081570997,95.0,0.4262151510728361,28396,0,0.218353271484375,0.5411250873515024,129.21688842773438,41.13386154174805,45.08144029734928,0.0005533854166666,0.0001041666666666
02/1L/S3021L04.jpg,data/features/daugman_strict_v3/gabor_codes/02__1L__S3021L04.jpg.npz,2,F02_T1,F02_T1_L,L,1,True,0.3124371678874048,0.3124371678874048,0.3762195121951219,0.0637823443077171,F02_T1_L,F02_T1,2,L,genuine_gallery,False,False,False,F87_T2_R,F87_T2,87,R,unrelated,False,False,False,23.0,0.4063224609676921,0.0938852930802872,30.0,0.4100044662795891,23.0,0.4063224609676921,27852,0,0.2158203125,0.5383554864253394,130.58773803710938,42.05365753173828,31.270307004282223,0.0003515625,8.138020833333333e-05
02/1R/S3021R06.jpg,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R06.jpg.npz,2,F02_T1,F02_T1_R,R,1,True,0.2974710982658959,0.2974710982658959,0.3797775242441529,0.0823064259782569,F02_T1_R,F02_T1,2,R,genuine_gallery,False,False,False,F78_T1_L,F78_T1,78,L,unrelated,False,False,False,99.0,0.430832175389841,0.133361077123945,115.0,0.4355943257785749,99.0,0.430832175389841,27680,0,0.22198486328125,0.4910640637888369,123.9819793701172,36.357627868652344,32.47773104243808,0.0006673177083333,0.0002180989583333
02/1R/S3021R01.jpg,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R01.jpg.npz,2,F02_T1,F02_T1_R,R,1,True,0.2241244860343116,0.2241244860343116,0.3672339059239043,0.1431094198895926,F02_T1_R,F02_T1,2,R,genuine_gallery,False,False,False,F75_T2_R,F75_T2,75,R,unrelated,False,False,False,63.0,0.4190480216435576,0.194923535609246,63.0,0.4190480216435576,155.0,0.4378834355828221,28212,0,0.220794677734375,0.5057014512785073,116.52989959716795,32.503173828125,25.42084146625731,0.00087890625,6.8359375e-05
02/1R/S3021R08.jpg,data/features/daugman_strict_v3/gabor_codes/02__1R__S3021R08.jpg.npz,2,F02_T1,F02_T1_R,R,1,True,0.2782281624306164,0.2782281624306164,0.3786745745229499,0.1004464120923335,F02_T1_R,F02_T1,2,R,genuine_gallery,False,False,False,F90_T1_R,F90_T1,90,R,unrelated,False,False,False,46.0,0.4103687779063998,0.1321406154757834,46.0,0.4103687779063998,121.0,0.430297256097561,27384,0,0.2196044921875,0.5087548638132295,116.3874740600586,43.19745635986328,43.52706468705073,0.00197265625,0.0002278645833333
